sector,ticker,name,old_group,new_group,evidence,needs_review,status
holdings,003300,"한일홀딩스",,"건설·부동산",chain_overrides §0-4G,false,mapped
holdings,0220W0,"한화머시너리앤서비스홀딩스",,"복합사업",chain_overrides §0-4G,false,mapped
holdings,058650,"세아홀딩스",,"소재·산업재",chain_overrides §0-4G,false,mapped
holdings,007700,"F&F홀딩스",,"소비·유통",chain_overrides §0-4G,false,mapped
holdings,005810,"풍산홀딩스",,"소재·산업재",chain_overrides §0-4G,false,mapped
holdings,000070,"삼양홀딩스",,"복합사업",chain_overrides §0-4G,false,mapped
holdings,072710,"농심홀딩스",,"소비·유통",chain_overrides §0-4G,false,mapped
holdings,003030,"세아제강지주",,"소재·산업재",chain_overrides §0-4G,false,mapped
holdings,002030,"아세아",,"건설·부동산",chain_overrides §0-4G,false,mapped
holdings,092230,"KPX홀딩스",,"에너지·화학",chain_overrides §0-4G,false,mapped
holdings,001940,"KISCO홀딩스",,"소재·산업재",chain_overrides §0-4G,false,mapped
holdings,027410,"BGF",,"소비·유통",chain_overrides §0-4G,false,mapped
holdings,060980,"HL홀딩스",,"소재·산업재",chain_overrides §0-4G,false,mapped
holdings,024720,"콜마홀딩스",,"복합사업",chain_overrides §0-4G,false,mapped
holdings,002020,"코오롱",,"복합사업",chain_overrides §0-4G,false,mapped
holdings,015860,"일진홀딩스",,"소재·산업재",chain_overrides §0-4G,false,mapped
holdings,005720,"넥센",,"소재·산업재",chain_overrides §0-4G,false,mapped
holdings,001230,"동국홀딩스",,"소재·산업재",chain_overrides §0-4G,false,mapped
holdings,096760,"JW홀딩스",,"헬스케어",chain_overrides §0-4G,false,mapped
holdings,012030,"DB",,"금융",chain_overrides §0-4G,false,mapped
holdings,121440,"골프존홀딩스",,"소비·유통",chain_overrides §0-4G,false,mapped
software,377300,"카카오페이","finance-only","결제·데이터 인프라",finance+software 교차수록,false,cross
