종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"0001A0","덕양에너젠","KOSDAQ","","8850","190","2.19","225400313700"
"000250","삼천당제약","KOSDAQ","","159600","-3900","-2.39","3743812531200"
"000440","중앙에너비스","KOSDAQ","","12720","-250","-1.93","79209093600"
"0004V0","엔비알모션","KOSDAQ","","6530","780","13.57","71897807520"
"0004Y0","디비금융제14호스팩","KOSDAQ","","2000","0","0.00","10630000000"
"0007C0","아크릴","KOSDAQ","","19800","-750","-3.65","159000415200"
"0007J0","인벤테라","KOSDAQ","","10150","-700","-6.45","79836997100"
"0008Z0","에스엔시스","KOSDAQ","","23950","-550","-2.24","226005707800"
"0009K0","에임드바이오","KOSDAQ","","21750","-900","-3.97","1413590376750"
"001000","신라섬유","KOSDAQ","","1876","18","0.97","9108933008"
"0010F0","보원케미칼","KOSDAQ","","2295","-10","-0.43","25574564295"
"0010V0","제이피아이헬스케어","KOSDAQ","","8730","0","0.00","44570142000"
"0011A0","액스비스","KOSDAQ","","12380","50","0.41","115551701200"
"0011T0","채비","KOSDAQ","","5530","-80","-1.43","259631238230"
"0013V0","삼진식품","KOSDAQ","","5200","0","0.00","51577011200"
"001540","안국약품","KOSDAQ","","10290","90","0.88","134206501800"
"0015G0","그린광학","KOSDAQ","","14710","-70","-0.47","172144378110"
"0015N0","아로마티카","KOSDAQ","","13570","170","1.27","170668831540"
"0015S0","페스카로","KOSDAQ","","8580","450","5.54","84656543400"
"0017J0","세미티에스","KOSDAQ","","2580","0","0.00","77789685780"
"001810","무림SP","KOSDAQ","","1177","9","0.77","26055837500"
"001840","이화공영","KOSDAQ","","2215","0","0.00","62588831935"
"002230","피에스텍","KOSDAQ","","5100","-40","-0.78","93947457000"
"002290","삼일기업공사","KOSDAQ","","3310","-30","-0.9","41044000000"
"002680","한탑","KOSDAQ","","2630","60","2.33","16998634170"
"002800","신신제약","KOSDAQ","","4490","25","0.56","68115545000"
"003100","선광","KOSDAQ","","20450","150","0.74","134970000000"
"003310","대주산업","KOSDAQ","","1647","3","0.18","58291200450"
"003380","하림지주","KOSDAQ","","10990","-160","-1.43","1230941774790"
"0037T0","KB제32호스팩","KOSDAQ","","1987","-1","-0.05","12577710000"
"003800","에이스침대","KOSDAQ","","32650","0","0.00","362088500000"
"0039P0","매드업","KOSDAQ","","7700","-220","-2.78","144816980000"
"0041B0","교보18호스팩","KOSDAQ","","2010","10","0.5","10130400000"
"0041J0","엘에스스팩1호","KOSDAQ","","1992","2","0.1","8187120000"
"0041L0","하나35호스팩","KOSDAQ","","1980","-5","-0.25","11939400000"
"0044K0","삼성스팩10호","KOSDAQ","","1977","-11","-0.55","14867040000"
"004590","한국가구","KOSDAQ","","5350","10","0.19","80250000000"
"004650","창해에탄올","KOSDAQ","","9310","0","0.00","85567139350"
"004780","대륙제관","KOSDAQ","","4220","-65","-1.52","67111499780"
"005160","동국산업","KOSDAQ","","3470","-200","-5.45","188228352540"
"005290","동진쎄미켐","KOSDAQ","","41200","300","0.73","2099969191200"
"0054V0","엔에이치스팩32호","KOSDAQ","","2000","-5","-0.25","12433000000"
"005670","푸드웰","KOSDAQ","","6230","40","0.65","62300000000"
"005710","대원산업","KOSDAQ","","11070","430","4.04","221816232000"
"005860","한일사료","KOSDAQ","","2430","-30","-1.22","95750954550"
"005990","매일홀딩스","KOSDAQ","","10790","70","0.65","143488700160"
"006050","국영지앤엠","KOSDAQ","","5700","100","1.79","19890286800"
"006140","피제이전자","KOSDAQ","","4565","15","0.33","67858725000"
"006620","동구바이오제약","KOSDAQ","","3510","0","0.00","99912121920"
"006730","서부T&D","KOSDAQ","","11050","-180","-1.6","710259999150"
"0068Y0","비엔케이제3호스팩","KOSDAQ","","1982","11","0.56","8542420000"
"006910","보성파워텍","KOSDAQ","","7640","320","4.37","375351855360"
"006920","모헨즈","KOSDAQ","","3080","15","0.49","33633600000"
"0071M0","삼성스팩11호","KOSDAQ","","1984","9","0.46","11427840000"
"0072Z0","KB제33호스팩","KOSDAQ","","1965","-4","-0.2","15494025000"
"007330","푸른저축은행","KOSDAQ","","10100","-30","-0.3","152336280000"
"007370","진양제약","KOSDAQ","","3975","-25","-0.63","56184983325"
"007390","네이처셀","KOSDAQ","","24550","-50","-0.2","1581880624800"
"007530","와이엠","KOSDAQ","","1811","26","1.46","40302412341"
"007680","대원","KOSDAQ","","3200","-25","-0.78","42312761600"
"007720","소노스퀘어","KOSDAQ","","1179","42","3.69","23768746110"
"007770","한일화학","KOSDAQ","","8030","10","0.12","28185300000"
"007820","엠엑스로보틱스","KOSDAQ","","3535","15","0.43","82448286165"
"008290","원풍물산","KOSDAQ","","20","-23","-53.49","406936780"
"0082N0","카나프테라퓨틱스","KOSDAQ","","12270","-20","-0.16","163198116600"
"008370","원풍","KOSDAQ","","5300","50","0.95","63600000000"
"008470","부스타","KOSDAQ","","1673","-3","-0.18","28122460800"
"008830","대동기어","KOSDAQ","","6320","70","1.12","121229709120"
"0088D0","메리츠제1호스팩","KOSDAQ","","2060","-5","-0.24","11937700000"
"0088M0","메쥬","KOSDAQ","","12120","30","0.25","119766810000"
"0091W0","신영스팩11호","KOSDAQ","","2030","5","0.25","12318040000"
"009300","삼아제약","KOSDAQ","","14000","0","0.00","89180000000"
"0093G0","미래에셋비전스팩8호","KOSDAQ","","1980","13","0.66","12672000000"
"009520","포스코엠텍","KOSDAQ","","12670","-10","-0.08","527613047010"
"009620","삼보산업","KOSDAQ","","4645","345","8.02","16232458805"
"0096B0","삼성스팩12호","KOSDAQ","","1986","2","0.1","13067880000"
"0096D0","미래에셋비전스팩9호","KOSDAQ","","1971","-1","-0.05","10840500000"
"009730","이렘","KOSDAQ","","2165","65","3.1","17266963995"
"009780","엠에스씨","KOSDAQ","","6790","-70","-1.02","119504000000"
"0097F0","미래에셋비전스팩10호","KOSDAQ","","1967","-3","-0.15","12785500000"
"0098T0","교보19호스팩","KOSDAQ","","1976","-7","-0.35","10670400000"
"0099W0","미래에셋비전스팩11호","KOSDAQ","","1980","11","0.56","13860000000"
"0099X0","IBKS제25호스팩","KOSDAQ","","2180","0","0.00","13036400000"
"010170","대한광통신","KOSDAQ","","18320","2190","13.58","2848497291200"
"0101C0","하나36호스팩","KOSDAQ","","1967","0","0.00","15224580000"
"010240","흥국","KOSDAQ","","5250","0","0.00","61456500000"
"010280","아이티센엔텍","KOSDAQ","","5100","-30","-0.58","66426260700"
"010470","오리콤","KOSDAQ","","4895","-35","-0.71","58617869750"
"0105P0","유진스팩12호","KOSDAQ","","1987","1","0.05","11246420000"
"011040","경동제약","KOSDAQ","","5030","-10","-0.2","154766892980"
"011080","형지I&C","KOSDAQ","","647","-14","-2.12","4591281514"
"011320","유니크","KOSDAQ","","3750","20","0.54","72452606250"
"011370","서한","KOSDAQ","","3715","20","0.54","74964884695"
"011560","세보엠이씨","KOSDAQ","","24800","600","2.48","250104825600"
"0115H0","삼성스팩13호","KOSDAQ","","1975","0","0.00","14516250000"
"0117P0","피스피스스튜디오","KOSDAQ","","5580","10","0.18","79062523380"
"012210","삼미금속","KOSDAQ","","11160","-130","-1.15","257255621640"
"012340","뉴인텍","KOSDAQ","","442","-15","-3.28","9743798506"
"012620","원일특강","KOSDAQ","","6890","0","0.00","30316000000"
"012700","리드코프","KOSDAQ","","2920","25","0.86","75904967840"
"012790","신일제약","KOSDAQ","","6100","40","0.66","73117131500"
"012860","모베이스전자","KOSDAQ","","2425","145","6.36","177591133225"
"0129K0","신한제18호스팩","KOSDAQ","","1975","7","0.36","11099500000"
"013030","하이록코리아","KOSDAQ","","36800","1000","2.79","433067699200"
"0130D0","신한제17호스팩","KOSDAQ","","1960","4","0.2","10466400000"
"0130H0","엔에이치스팩33호","KOSDAQ","","1993","17","0.86","15346100000"
"013120","동원개발","KOSDAQ","","2100","0","0.00","190697010000"
"0131D0","키움히어로제2호스팩","KOSDAQ","","1970","0","0.00","12430700000"
"0132G0","교보20호스팩","KOSDAQ","","1992","5","0.25","11892240000"
"013310","아진산업","KOSDAQ","","2290","35","1.55","88867072780"
"0134X0","대신밸런스제20호스팩","KOSDAQ","","1974","1","0.05","13304760000"
"013720","청보","KOSDAQ","","2165","15","0.7","26338584620"
"013810","스페코","KOSDAQ","","1568","8","0.51","22979776960"
"013990","아가방컴퍼니","KOSDAQ","","4770","-20","-0.42","156873546720"
