종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"000020","동화약품","KOSPI","","5180","90","1.77","144685014600"
"000040","KR모터스","KOSPI","","1481","125","9.22","25584328316"
"000050","경방","KOSPI","","8320","60","0.73","228095046400"
"000070","삼양홀딩스","KOSPI","","60900","1300","2.18","472778331900"
"000080","하이트진로","KOSPI","","15720","540","3.56","1102500364920"
"000087","하이트진로2우B","KOSPI","","12360","80","0.65","13968505680"
"000100","유한양행","KOSPI","","84900","2200","2.66","6249979806900"
"000105","유한양행우","KOSPI","","70400","400","0.57","80843136000"
"000120","CJ대한통운","KOSPI","","74700","1400","1.91","1704082096800"
"000140","하이트진로홀딩스","KOSPI","","8210","180","2.24","190527540650"
"000145","하이트진로홀딩스우","KOSPI","","9190","-40","-0.43","4326743900"
"000150","두산","KOSPI","","1238000","24000","1.98","20047967730000"
"000155","두산우","KOSPI","","440000","7500","1.73","1758443280000"
"000157","두산2우B","KOSPI","","344500","4500","1.32","307651591000"
"000180","성창기업지주","KOSPI","","5250","0","0.00","73239180000"
"000210","DL","KOSPI","","50000","0","0.00","1047794200000"
"000215","DL우","KOSPI","","23750","-250","-1.04","40045231250"
"000220","유유제약","KOSPI","","3860","90","2.39","60785203320"
"000225","유유제약1우","KOSPI","","3695","80","2.21","8376306350"
"000227","유유제약2우B","KOSPI","","7480","170","2.33","2415740800"
"000230","일동홀딩스","KOSPI","","6660","140","2.15","76859064000"
"000240","한국앤컴퍼니","KOSPI","","24750","600","2.48","2349647190000"
"000270","기아","KOSPI","","128000","1900","1.51","49972863744000"
"000300","DH오토넥스","KOSPI","","4200","0","0.00","174035631000"
"000320","노루홀딩스","KOSPI","","17610","350","2.03","234057169110"
"000325","노루홀딩스우","KOSPI","","27650","750","2.79","6734406350"
"000370","한화손해보험","KOSPI","","8450","720","9.31","986443831750"
"000390","SP삼화","KOSPI","","6700","300","4.69","182263242300"
"000400","롯데손해보험","KOSPI","","2140","60","2.88","664119724800"
"000430","대원강업","KOSPI","","4460","200","4.69","276520000000"
"000480","CR홀딩스","KOSPI","","4570","0","0.00","214289539300"
"000490","대동","KOSPI","","7920","20","0.25","228308770800"
"000500","가온전선","KOSPI","","204000","-7500","-3.55","6074631828000"
"000520","삼일제약","KOSPI","","6210","90","1.47","134706146310"
"000540","흥국화재","KOSPI","","3555","90","2.6","228382602975"
"000545","흥국화재우","KOSPI","","5330","50","0.95","4093440000"
"000590","CS홀딩스","KOSPI","","68100","200","0.29","78620224200"
"000640","동아쏘시오홀딩스","KOSPI","","96000","3800","4.12","646322592000"
"000650","천일고속","KOSPI","","155800","2300","1.5","222672476000"
"000660","SK하이닉스","KOSPI","","1653000","-77000","-4.45","1207503879345000"
"000670","영풍","KOSPI","","41200","950","2.36","758520139600"
"000680","LS네트웍스","KOSPI","","3015","10","0.33","237591093240"
"000700","유수홀딩스","KOSPI","","6680","-30","-0.45","173959304160"
"000720","현대건설","KOSPI","","128900","-400","-0.31","14353758108500"
