종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"451060","1Q 200액티브","41550","1730","4.34","41793.15","42470","43570","41550","326827","14019249414","473670000000","0","11400000","코스피 200","1291.32","59.78","4.85"
"0184E0","1Q 200채권혼합50액티브","12090","450","3.87","11870.39","12220","12255","11725","151268","1827801616","25993500000","0","2150000","코스피 200 단기국공채 혼합지수","2390.85","59.50","2.55"
"491610","1Q CD금리액티브(합성)","104210","15","0.01","104540.28","104200","104210","104195","9164","954912013","191016930000","0","1833000","KIS 하나 CD금리 총수익지수","11795.59","0.00","0.00"
"0182R0","1Q K반도체TOP2+","15670","1370","9.58","15824.30","14970","16300","14545","4733178","73881568222","278142500000","0","17750000","NICE K반도체 TOP2 MAX+ 지수","12554.64","1212.70","10.69"
"0182S0","1Q K반도체TOP2채권혼합50","13550","350","2.65","13552.79","14000","14000","13525","836714","11554083074","182247500000","0","13450000","KEDI K반도체TOP2채권혼합 지수","3881.82","96.88","2.56"
"0103T0","1Q K소버린AI","10020","445","4.65","10027.04","10045","10450","9875","411047","4188387644","26553000000","0","2650000","iSelect K소버린AI 지수","1988.96","81.45","4.27"
"0198D0","1Q SK하이닉스선물단일종목레버리지","21525","980","4.77","21164.29","24100","24480","21525","376431","8861756648","25937625000","0","1205000","KRX SK하이닉스 선물 지수","12114.67","191.14","1.60"
"463290","1Q 단기금융채액티브","108495","-5","0.00","108505.60","108500","108515","108490","11048","1198787614","239231475000","0","2205000","MK 머니마켓 지수(총수익)","14646.83","3.55","0.02"
"0131W0","1Q 단기특수은행채액티브","101475","10","0.01","101482.45","101470","101475","101470","21","2130970","136280925000","0","1343000","KIS 단기특수은행채 지수(총수익)","116.49","0.00","0.00"
"479080","1Q 머니마켓액티브","53365","5","0.01","53361.57","53360","53365","53360","132742","7083421973","880842690000","0","16506000","KIS-하나 MMF 지수(총수익)","119.93","0.00","0.00"
"0026S0","1Q 미국S&P500","13615","90","0.67","13629.75","13635","13680","13610","373051","5087280817","309060500000","0","22700000","S&P 500","7394.30","0.00","0.00"
"0052S0","1Q 미국S&P500미국채혼합50액티브","12520","-20","-0.16","12509.18","12595","12625","12490","355524","4458131354","292968000000","0","23400000","S&P 500 and Short-Term Treasury 50/50 Blend Index","288.51","0.00","0.00"
"0069M0","1Q 미국나스닥100","14795","240","1.65","14834.18","14860","14915","14790","223003","3310189536","187896500000","0","12700000","NASDAQ 100","29446.18","0.00","0.00"
"0111P0","1Q 미국나스닥100미국채혼합50액티브","11855","75","0.64","11864.24","11860","11905","11850","323133","3838040470","284520000000","0","24000000","Nasdaq-100 US T-Bills 0-6 Month 50/50 Index","3124.19","0.00","0.00"
"0083S0","1Q 미국메디컬AI","10295","-20","-0.19","10350.54","10340","10395","10275","39477","408332296","38091500000","0","3700000","KEDI 미국메디컬AI 지수","1769.18","0.00","0.00"
"0004G0","1Q 미국배당TOP30","9525","20","0.21","9546.02","9505","9550","9495","14072","133964410","13335000000","0","1400000","Solactive U.S. Dividend TOP 30 Index PR","4109.97","0.00","0.00"
"0131V0","1Q 미국우주항공테크","14440","740","5.40","14179.01","14485","14795","14330","1162434","16940694807","607924000000","0","42100000","Akros 미국우주항공테크 지수","4648.31","0.00","0.00"
"0198B0","1Q 삼성전자선물단일종목레버리지","22555","3150","16.23","22628.67","23240","24800","22475","290265","6924929390","24810500000","0","1100000","KRX 삼성전자 선물 지수","5786.10","428.60","8.00"
"0094X0","1Q 샤오미밸류체인액티브","9340","85","0.92","9432.29","9185","9505","9185","9581","89638065","11675000000","0","1250000","Solactive-KEDI Xiaomi Focus China Tech Index","1760.40","19.15","1.10"
"0172V0","1Q 은액티브","9500","340","3.71","9460.40","9575","9630","9470","214030","2045418087","59375000000","0","6250000","Bloomberg Blended Silver Spot USD index","3652.13","0.00","0.00"
"0017Y0","1Q 종합채권(AA-이상)액티브","94180","295","0.31","94266.50","94235","94335","94180","327","30812625","85703800000","0","910000","KIS 종합채권형 지수(AA-이상)(총수익)","119.26","0.00","0.00"
"0052T0","1Q 중단기회사채(A-이상)액티브","50310","30","0.06","50285.70","50285","50320","50285","6020","302716235","89249940000","0","1774000","KEDI 중단기크레딧플러스채권(AAA~A-)지수(총수익)","118.50","0.00","0.00"
"495330","1Q 코리아밸류업","38000","1565","4.30","37888.13","38015","39195","37700","50429","1944115342","163400000000","0","4300000","코리아 밸류업 지수","3855.34","175.20","4.76"
"0186S0","1Q 코스닥150채권혼합50액티브","9425","185","2.00","9441.87","9515","9525","9300","357553","3368260235","26861250000","0","2850000","코스닥 150 단기국공채 혼합지수","1550.91","22.23","1.45"
"492500","1Q 현대차그룹채권(A+이상)&국고통안","51010","70","0.14","50990.23","51020","51025","50975","2743","139862195","92736180000","0","1818000","KIS 하나 현대차그룹채권(A+이상)&국고통안 총수익지수","11847.77","15.17","0.13"
"0206G0","1Q 현대차기아채권혼합50","9510","140","1.49","9546.55","9600","9660","9465","473873","4550875631","11412000000","0","1200000","KEDI 현대차&기아채권혼합50지수","2063.80","36.34","1.79"
"473440","ACE 11월만기자동연장회사채AA-이상액티브","10765","0","0.00","10770.43","10765","10765","10760","2718","29246715","93655500000","0","8700000","KIS 11월 만기자동연장회사채(AA-이상) 총수익지수","123.05","0.00","0.00"
"105190","ACE 200","129665","5535","4.46","130321.07","132895","135855","129530","443875","59550930230","1932008500000","0","14900000","코스피 200","1291.32","59.78","4.85"
"332500","ACE 200TR","86890","3810","4.59","87266.94","89480","90955","86890","55190","4925034872","199847000000","0","2300000","코스피 200 TR","1710.68","79.19","4.85"
"461270","ACE 26-06 회사채(AA-이상)액티브","11200","0","0.00","11216.38","11220","11220","11200","3907","43759695","195552000000","0","17460000","KIS 크레딧 2606만기형(AA-이상)지수(총수익지수)","125.61","0.00","0.00"
"475260","ACE 2월만기자동연장회사채AA-이상액티브","10675","0","0.00","10674.94","10675","10675","10665","28","298650","50279250000","0","4710000","KAP 2월 만기자동연장회사채(AA-이상) 총수익지수","121.86","0.00","0.00"
"385600","ACE 2차전지&친환경차액티브","14630","310","2.16","14607.49","15070","15510","14450","46746","707058709","24871000000","0","1700000","FnGuide 친환경 자동차 밸류체인 지수","2624.27","54.80","2.13"
"475270","ACE 5월만기자동연장회사채AA-이상액티브","10665","0","0.00","10662.79","10670","10670","10665","4112","43874815","45112950000","0","4230000","KIS 5월 만기자동연장회사채(AA-이상) 총수익지수","120.57","0.00","0.00"
"475280","ACE 8월만기자동연장회사채AA-이상액티브","10665","10","0.09","10660.16","10665","10665","10665","801","8542665","74441700000","0","6980000","KAP 8월 만기자동연장회사채(AA-이상) 총수익지수","122.33","0.00","0.00"
"469150","ACE AI반도체TOP3+","80435","5535","7.39","80635.54","79815","83680","79695","3292841","268706516739","1395547250000","0","17350000","FnGuide AI반도체 TOP3+ 지수","10100.29","690.51","7.34"
"0079X0","ACE BYD밸류체인액티브","11705","260","2.27","11609.85","11775","11940","11420","2208","25550127","4096750000","0","350000","Bloomberg BYD Plus Top Supply Chain Select Price Return Index","2417.61","0.00","0.00"
"385590","ACE ESG액티브","26890","1165","4.53","27158.24","27565","28055","26890","2383","66077935","61847000000","0","2300000","MSCI Korea Country ESG Leaders Custom Capped Price return Index","5027.16","219.33","4.56"
"226380","ACE Fn성장소비주도주","5945","35","0.59","5989.74","5980","6085","5945","1717","10306770","4161500000","0","700000","FnGuide 성장소비주도 지수","1980.55","8.64","0.44"
"475050","ACE KPOP포커스","8315","15","0.18","8369.88","8350","8540","8220","1371155","11522278377","113499750000","0","13650000","iSelect K-POP 포커스지수(시장가격)","2090.59","2.33","0.11"
"411060","ACE KRX금현물","28210","560","2.03","28490.93","28200","28485","28045","1171471","33083311162","4276636000000","0","151600000","KRX 금현물지수","4774.62","89.00","1.90"
"0172Y0","ACE K수출핵심TOP10산업액티브","11215","365","3.36","11383.53","11475","11535","11135","18511","211087140","11775750000","0","1050000","iSelect K수출핵심산업 지수 (시장가격)","4700.64","205.39","4.57"
"0177X0","ACE K휴머노이드로봇산업TOP2+","12705","595","4.91","12770.06","12780","13640","12680","1105824","14626131787","146107500000","0","11500000","Akros K-휴머노이드 로봇 TOP2+ 지수 (시장가격)","11104.33","595.42","5.67"
"291130","ACE MSCI멕시코(합성)","19595","445","2.32","20126.31","19750","19760","19595","1510","29798540","17635500000","0","900000","MSCI MEXICO IMI 25/50 Price return Index","13626.45","0.00","0.00"
"256440","ACE MSCI인도네시아(합성)","5725","315","5.82","5756.96","5450","5730","5450","107553","605554582","31487500000","0","5500000","MSCI Indonesia Index","4259.29","118.29","2.86"
"261920","ACE MSCI필리핀(합성)","13400","65","0.49","13463.23","13250","13445","13250","327","4377715","5360000000","0","400000","MSCI Philippines IMI Index","1550.49","0.00","0.00"
"0194T0","ACE SK하이닉스단일종목레버리지","20280","940","4.86","19968.80","22650","23000","20280","1034682","22907251541","87204000000","0","4300000","KRX SK하이닉스 지수","12558.41","286.21","2.33"
"0021D0","ACE TDF2030액티브 적격","11505","165","1.46","11483.93","11390","11520","11390","13098","149999225","16107000000","0","1400000","Bloomberg Multi Asset Target-date 2030 KRW Index","2834.49","0.00","0.00"
"0021E0","ACE TDF2050액티브 적격","13070","285","2.23","13120.59","12975","13190","12975","104923","1369766035","66003500000","0","5050000","Bloomberg Multi Asset Target-date 2050 KRW Index","3652.93","0.00","0.00"
"0021C0","ACE TDF장기자산배분액티브","14400","240","1.69","14403.59","14320","14490","14320","16117","231676660","13680000000","0","950000","Bloomberg Multi Asset Target-date 2080 KRW Index","4439.76","0.00","0.00"
"0139P0","ACE 고배당주","14185","285","2.05","14216.76","14150","14470","14072","201694","2874213315","56740000000","0","4000000","KRX-Akros 고배당주 20 지수","3578.16","84.07","2.41"
"0199C0","ACE 고배당주Plus커버드콜액티브","10200","220","2.20","10336.69","10390","10450","10200","1278534","13219894623","108120000000","0","10600000","KRX-Akros 고배당주 20 위클리 고정 30% 커버드콜 지수","2385.69","25.94","1.10"
"225130","ACE 골드선물 레버리지(합성 H)","45405","1355","3.08","45874.79","45590","46500","45375","6197","284052764","22702500000","0","500000","S&P GSCI GOLD Index Excess Return","249.64","5.42","2.22"
"483340","ACE 구글밸류체인액티브","27065","1240","4.80","26602.47","27200","27340","26990","357329","9679917513","328839750000","0","12150000","KEDI 글로벌 AI 클라우드 지수","7482.04","0.00","0.00"
"365780","ACE 국고채10년","82645","680","0.83","82563.92","82400","82645","82345","10439","861142681","590498525000","0","7145000","KIS 10년 국고채 지수 (총수익)","15660.89","135.33","0.87"
"114460","ACE 국고채3년","100095","170","0.17","100128.84","100135","100165","100025","697","69772495","15014250000","0","150000","KTB INDEX(시장가격)","10114.48","24.35","0.24"
"494340","ACE 글로벌AI맞춤형반도체","26070","1275","5.14","26172.97","26230","26795","25800","86227","2278317254","39105000000","0","1500000","Solactive AI Custom Semiconductor Index(PR)","11706.89","0.00","0.00"
"446770","ACE 글로벌반도체TOP4 Plus","90780","2675","3.04","90741.61","92765","93430","90780","345896","32020996551","1815600000000","0","20000000","Solactive Global Semiconductor TOP4 Plus Price Return Index","15446.21","675.20","4.57"
"435040","ACE 글로벌브랜드TOP10","20540","0","0.00","20544.40","20430","20585","20430","986","20186197","14378000000","0","700000","Bloomberg Global Select Industry Leaders TOP10 Index(PR)","4830.65","0.00","0.00"
"497510","ACE 글로벌빅파마","13400","135","1.02","13458.78","13370","13460","13290","5210","69642442","9380000000","0","700000","Solactive Global Big Pharma Index (Price Return)","2164.31","0.00","0.00"
"460960","ACE 글로벌인컴TOP10","12165","25","0.21","12144.90","12175","12190","12115","56313","685320256","88196250000","0","7250000","Solactive Global Superior Income TOP 10 Price Return Index","795.02","0.00","0.00"
"414270","ACE 글로벌자율주행액티브","13975","370","2.72","13927.03","13610","14080","13610","9976","139170935","32142500000","0","2300000","FactSet US-China Electric&Autonomous Vehicle Price Return Index","359.90","3.04","0.85"
"440640","ACE 단기채권알파액티브","111845","10","0.01","111848.78","111815","111870","111805","3395","379687740","68560985000","0","613000","KIS 단기채권알파AA-이상 총수익지수","123.04","0.00","0.00"
"190620","ACE 단기통안채","101380","20","0.02","101381.14","101375","101395","101365","13565","1375248033","300895840000","0","2968000","KIS MSB 단기지수(총수익)","13112.36","2.91","0.02"
"494330","ACE 라이프자산주주가치액티브","32200","1485","4.83","32330.53","32575","33400","32145","22276","735432040","138460000000","0","4300000","FnGuide 기업가치 지수(시장가격)","3266.97","118.49","3.76"
"265690","ACE 러시아MSCI(합성)","8535","0","0.00","48.21","0","0","0","0","0","15789750000","0","1850000","MSCI Russia 25% Capped Price Return Index",,,
"152500","ACE 레버리지","74280","6330","9.32","74641.46","77680","80860","74280","55229","4338872048","81708000000","0","1100000","코스피 200","1291.32","59.78","4.85"
"0153P0","ACE 리츠부동산인프라액티브","9580","-155","-1.59","9524.23","10000","10000","9520","12219","118991229","16765000000","0","1750000","FnGuide 맥쿼리인프라 배당 리츠 지수 (시장가격)","806.20","-10.16","-1.24"
"483330","ACE 마이크로소프트밸류체인액티브","15040","90","0.60","14847.70","14950","15215","14825","56806","853821018","18800000000","0","1250000","KEDI 글로벌생성형AI 지수","3814.05","0.00","0.00"
"487340","ACE 머니마켓액티브","105045","10","0.01","105044.17","105035","105045","105035","12035","1264192241","891306825000","0","8485000","MK-KAP 머니마켓 총수익지수","120.37","0.00","0.00"
"0085P0","ACE 미국10년국채액티브","10985","0","0.00","10977.08","10975","11005","10950","319133","3506584104","101062000000","0","9200000","ICE U.S. Treasury 7-10 Year Bond Index (Total Return)","114.27","0.00","0.00"
"0085N0","ACE 미국10년국채액티브(H)","9925","55","0.56","9933.91","9930","9945","9920","32656","324235639","35730000000","0","3600000","ICE U.S. Treasury 7-10 Year Bond Index (Total Return)","114.27","0.00","0.00"
"452250","ACE 미국30년국채선물레버리지(합성 H)","5125","110","2.19","5173.46","5090","5160","5090","76196","389535385","46893750000","0","9150000","S&P Ultra T-Bond Futures Index(ER)","108.49","-0.06","-0.06"
"476760","ACE 미국30년국채액티브","10260","45","0.44","10266.20","10245","10285","10240","354447","3637500407","295488000000","0","28800000","Bloomberg U.S Treasury 20+ Year Total Return Index","592.71","0.00","0.00"
"453850","ACE 미국30년국채액티브(H)","7480","75","1.01","7496.65","7475","7480","7465","2117529","15826710293","1707684000000","0","228300000","Bloomberg U.S Treasury 20+ Year Total Return Index","592.71","0.00","0.00"
"476750","ACE 미국30년국채엔화노출액티브(H)","8530","55","0.65","8534.73","8530","8545","8510","143286","1222120163","74211000000","0","8700000","Bloomberg U.S. Treasury 20+ Year Total Return Index T1530 JPY Currency Hedged","108.35","0.00","0.00"
"480030","ACE 미국500데일리타겟커버드콜(합성)","11220","25","0.22","11191.40","11240","11275","11205","113192","1271878755","161568000000","0","14400000","Bloomberg US 500 Large Cap Premium Decrement 15% Distribution Index","1136.46","0.00","0.00"
"0118Z0","ACE 미국AI테크핵심산업액티브","9880","265","2.76","9809.77","9890","9930","9880","131978","1306235429","74100000000","0","7500000","Akros U.S. AI Innovator Price Return Index","16939.07","0.00","0.00"
"280320","ACE 미국IT인터넷(합성 H)","19785","435","2.25","19986.70","19785","19830","19785","198","3918060","15828000000","0","800000","다우존스 인터넷 종합지수","1214.69","0.00","0.00"
"360200","ACE 미국S&P500","28185","215","0.77","28216.44","28200","28275","28165","753397","21264164307","4027636500000","0","142900000","S&P 500","7394.30","0.00","0.00"
"438080","ACE 미국S&P500미국채혼합50액티브","15130","25","0.17","15103.56","15140","15250","15095","682765","10333452567","1155932000000","0","76400000","S&P 500 and Short-Term Treasury 50/50 Blend Index","288.51","0.00","0.00"
"0155M0","ACE 미국SMR원자력TOP10","8045","315","4.08","7947.74","8050","8100","7995","99646","802577267","34191250000","0","4250000","Solactive US SMR Nuclear TOP 10 Index (Price Return)","4681.13","0.00","0.00"
"309230","ACE 미국WideMoat동일가중","31240","-30","-0.10","31591.55","31320","31630","31240","13821","433839580","122460800000","0","3920000","MorningStar Wide Moat Focus Index","15619.88","0.00","0.00"
"367380","ACE 미국나스닥100","34040","585","1.75","34120.74","34130","34260","34030","1167099","39853939175","3533352000000","0","103800000","NASDAQ 100","29446.18","0.00","0.00"
"438100","ACE 미국나스닥100미국채혼합50액티브","16650","90","0.54","16637.71","17370","17370","16640","591131","9860934748","880785000000","0","52900000","NASDAQ-100 US T-Bills 50/50 Index","2090.15","0.00","0.00"
"456880","ACE 미국달러SOFR금리(합성)","13275","-50","-0.38","13263.79","13240","13275","13225","113870","1509304723","368248500000","0","27740000","Solactive SOFR Daily Total Return Index","1246.71","0.00","0.00"
"440650","ACE 미국달러단기채권액티브","12675","-75","-0.59","12664.80","12650","12695","12650","97780","1238558240","41827500000","0","3300000","Bloomberg Short-Term Treasury Total Return Index","152.02","0.00","0.00"
"0127M0","ACE 미국대형가치주액티브","12925","110","0.86","12868.22","12870","13000","12830","71301","923587170","151868750000","0","11750000","CRSP US Large Cap Value Index(PR)","3659.20","0.00","0.00"
"0127P0","ACE 미국대형성장주액티브","11425","120","1.06","11450.29","11310","11525","11310","36033","414168895","687213750000","0","60150000","CRSP US Large Cap Growth Index(PR)","6967.08","0.00","0.00"
"480040","ACE 미국반도체데일리타겟커버드콜(합성)","20130","610","3.13","20132.27","20505","20575","20100","175597","3563706032","187209000000","0","9300000","Bloomberg US Listed Semiconductor Premium Decrement 15% Distribution Index","2564.88","0.00","0.00"
"402970","ACE 미국배당다우존스","15900","60","0.38","15896.00","15880","15935","15850","255844","4065197273","917430000000","0","57700000","Dow Jones U.S. Dividend 100 Price Return Index","6863.15","0.00","0.00"
"0046Y0","ACE 미국배당퀄리티","13445","55","0.41","13380.34","13530","13530","13325","15971","214137244","55796750000","0","4150000","WisdomTree U.S. Quality Dividend Growth Index (Price Return)","811.70","0.00","0.00"
"0049M0","ACE 미국배당퀄리티+커버드콜액티브","12165","20","0.16","12121.94","12175","12190","12155","29355","357335991","87588000000","0","7200000","Bloomberg WisdomTree U.S. Quality Dividend & B500 Premium Decrement 50:50 Index","1325.40","0.00","0.00"
"0049K0","ACE 미국배당퀄리티채권혼합50","11500","-45","-0.39","11511.55","11545","11575","11460","16726","192614339","23575000000","0","2050000","Bloomberg WisdomTree U.S. Quality Dividend & Short Term KRW Bonds 50:50 TR Index","2056.75","0.00","0.00"
"181480","ACE 미국부동산리츠(합성 H)","85635","-515","-0.60","85876.87","86130","86130","85635","320","27416650","10276200000","0","120000","Dow Jones U.S. Real Estate Index","1977.84","0.00","0.00"
"480020","ACE 미국빅테크7+데일리타겟커버드콜(합성)","12255","-225","-1.80","12211.16","12515","13470","12250","204449","2519383900","167893500000","0","13700000","Bloomberg US Big Tech Top 7 Plus Premium Decrement 15% Distribution Index","1895.44","0.00","0.00"
"465580","ACE 미국빅테크TOP7 Plus","24765","55","0.22","24743.43","24780","24915","24745","610925","15174068430","1064895000000","0","43000000","Solactive US Big Tech Top 7 Plus Price Return Index","36999.66","0.00","0.00"
"465610","ACE 미국빅테크TOP7 Plus레버리지(합성)","44730","-100","-0.22","45075.13","47390","47390","44665","31153","1409513583","143136000000","0","3200000","Solactive US Big Tech Top 7 Plus Price Return Index","36999.66","0.00","0.00"
"465620","ACE 미국빅테크TOP7 Plus인버스(합성)","6415","-100","-1.53","6476.83","6315","6415","6315","324","2072500","1603750000","0","250000","Solactive US Big Tech Top 7 Plus Price Return Index","36999.66","0.00","0.00"
"0180V0","ACE 미국우주테크액티브","13135","1275","10.75","12700.34","13240","13650","12955","18926290","250307728052","294880750000","0","22450000","FnGuide 미국스페이스테크 지수(시장가격)","6571.36","0.00","0.00"
"473590","ACE 미국주식베스트셀러","23180","235","1.02","23279.58","23265","23630","23180","17847","417298022","53314000000","0","2300000","FnGuide 미국 주식 베스트셀러 지수(시장가격지수)","11136.26","0.00","0.00"
"0008E0","ACE 미국중심중소형제조업","15450","550","3.69","15451.59","15345","15490","15345","1392","21534810","15450000000","0","1000000","NYSE FactSet US Focus Manufacturing Index(Price Return)","390.08","0.00","0.00"
"391600","ACE 미국친환경그린테마","12635","165","1.32","12880.63","12470","13190","12470","740","9372635","5685750000","0","450000","Indxx US Green Infrastructure Price return Index","3595.91","0.00","0.00"
"455660","ACE 미국하이일드액티브(H)","9545","20","0.21","9556.53","9550","9580","9545","25011","239140463","63951500000","0","6700000","Markit iBoxx USD Liquid High Yield Total Return Index","399.40","0.00","0.00"
"245710","ACE 베트남VN30(합성)","31370","-45","-0.14","31992.51","31420","31695","31275","67106","2107645596","316837000000","0","10100000","VN30 Index(PR)","1961.38","14.10","0.72"
"131890","ACE 삼성그룹동일가중","45070","2575","6.06","44893.35","45180","45325","44450","2132","95898290","18028000000","0","400000","MKF SAMs EW 지수","44867.68","1977.50","4.61"
"108450","ACE 삼성그룹섹터가중","46355","2500","5.70","46180.79","47305","48050","45605","51636","2421885387","106616500000","0","2300000","MKF SAMs SW","45939.90","2012.38","4.58"
"0194M0","ACE 삼성전자단일종목레버리지","21700","3090","16.60","21654.96","22435","23825","21450","2365568","54236878698","123690000000","0","5700000","KRX 삼성전자 지수","6039.33","440.08","7.86"
"316300","ACE 싱가포르리츠","14385","-60","-0.42","14458.20","14450","14470","14290","1278","18352330","7192500000","0","500000","Morningstar Singapore REIT Yield Focus Index(PR)","1238.34","0.00","0.00"
"277540","ACE 아시아TOP50","36075","1180","3.38","35795.74","35200","36960","35200","1721","62307500","30663750000","0","850000","S&P ASIA50 Price Return Index","9897.58","0.00","0.00"
"483420","ACE 애플밸류체인액티브","26395","535","2.07","26386.48","26970","26970","26310","18718","499659839","43551750000","0","1650000","Bloomberg Top 30 Supply Chain Plus Apple Price Return Index","5555.67","0.00","0.00"
"483320","ACE 엔비디아밸류체인액티브","29320","1270","4.53","28838.14","29300","29900","29235","130593","3863782319","375296000000","0","12800000","KEDI 글로벌AI반도체 지수","12163.53","0.00","0.00"
"448540","ACE 엔비디아채권혼합","26540","85","0.32","26557.63","26700","26950","26470","78097","2075718264","246822000000","0","9300000","Bloomberg Blended NVIDIA Equity and Korean Bond Index","10005.74","0.00","0.00"
"0099L0","ACE 우량회사채(AA-이상)액티브","98600","5","0.01","98602.15","98610","98610","98575","128","12619767","136166600000","0","1381000","KIS 1~3년 우량크레딧(AA-이상) 총수익지수","117.31","0.00","0.00"
"433500","ACE 원자력TOP10","68390","3290","5.05","71370.70","69900","70295","67610","161849","11168716699","328272000000","0","4800000","DeepSearch 원자력 TOP 10지수","7453.26","617.39","9.03"
"0102X0","ACE 유럽방산TOP10","9820","55","0.56","9834.89","9765","9850","9765","2008","19716300","7856000000","0","800000","NYSE FactSet Europe Defense TOP10 Index (Price Return)","628.02","0.00","0.00"
"487920","ACE 인도시장대표BIG5그룹액티브","8420","-25","-0.30","8432.74","8745","8745","8395","33847","285042009","8420000000","0","1000000","Indxx India Big 5 Conglomerates Index (Price Return)","4511.75","0.00","0.00"
"487910","ACE 인도컨슈머파워액티브","8745","-25","-0.29","8769.76","8785","8810","8685","10323","90540550","10494000000","0","1200000","Indxx India Super Consumption Index (Price Return)","3235.42","0.00","0.00"
"145670","ACE 인버스","1235","-62","-4.78","1234.42","1180","1235","1169","417882","497726206","3828500000","0","3100000","코스피 200 선물지수","6340.41","317.22","5.27"
"497520","ACE 일라이릴리밸류체인","12900","45","0.35","12961.82","12860","12970","12860","2202","28418545","8385000000","0","650000","Solactive Eli Lilly Value Chain Index(PR)","3140.91","0.00","0.00"
"238720","ACE 일본Nikkei225(H)","48090","1460","3.13","48016.00","48250","48765","47855","3887","187373630","38472000000","0","800000","Nikkei 225","66020.04","1802.77","2.81"
"196030","ACE 일본TOPIX레버리지(H)","81450","1650","2.07","81612.06","82085","83000","80640","1327","108544605","40725000000","0","500000","TOPIX","3881.96","51.61","1.35"
"205720","ACE 일본TOPIX인버스(합성 H)","1552","-22","-1.40","1555.28","1545","1558","1536","13606","21016712","4656000000","0","3000000","TOPIX","3881.96","51.61","1.35"
"469160","ACE 일본반도체","30260","1515","5.27","30540.44","30075","31940","30065","70911","2158555453","21182000000","0","700000","Bloomberg Japan Semiconductor Select Top 25 Index(Price Return)","8399.73","462.72","5.83"
"356540","ACE 종합채권(AA-이상)액티브","101530","480","0.48","101475.80","101420","101530","101240","4954","502707065","1166985820000","0","11494000","KIS 종합채권 AA-이상 총수익 지수(Total return Index)","114.51","0.00","0.00"
"447430","ACE 주주환원가치주액티브","16565","15","0.09","16611.14","16700","16870","16520","21222","356097586","48866750000","0","2950000","FnGuide 올라운드 가치주 지수","1069.67","25.22","2.41"
"416090","ACE 중국과창판STAR50","14380","250","1.77","14467.05","14300","15000","14300","16681","243545735","18694000000","0","1300000","STAR 50 Index(Price Return)","1663.36","0.92","0.06"
"168580","ACE 중국본토CSI300","38990","775","2.03","39037.93","38330","38995","38330","1692","65543290","128667000000","0","3300000","CSI 300 Index","0.00","-4722.41","-100.00"
"219900","ACE 중국본토CSI300레버리지(합성)","5425","75","1.40","5613.21","5595","5600","5400","14452","79127500","7595000000","0","1400000","CSI 300 Index","0.00","-4722.41","-100.00"
"272910","ACE 중장기국공채액티브","105385","160","0.15","105504.42","105367","105450","105367","89","9379823","92211875000","0","875000","KIS 종합채권국공채1-10Y지수","153.30","0.00","0.00"
"0087F0","ACE 차이나AI빅테크TOP2+액티브","13220","365","2.84","13156.72","12945","13500","12945","75732","998656360","11237000000","0","850000","Solactive China AI Big Tech TOP2+ Index (Price Return)","1601.17","0.00","0.00"
"371870","ACE 차이나항셍테크","7655","150","2.00","7639.25","7545","7720","7545","26769","205548240","13013500000","0","1700000","Hang Seng TECH Index","4696.59","40.85","0.88"
"380340","ACE 코리아AI테크핵심산업","36110","435","1.22","35912.16","37545","38405","35520","140767","5308488336","43332000000","0","1200000","FnGuide 코리아AI테크핵심산업지수 (Price Return)","7154.55","81.42","1.15"
"496120","ACE 코리아밸류업","38530","1855","5.06","38461.43","39075","39975","38410","9505","371203760","32750500000","0","850000","코리아 밸류업 지수","3855.34","175.20","4.76"
"354500","ACE 코스닥150","18160","415","2.34","18422.59","18355","18800","18070","456560","8420456816","163440000000","0","9000000","코스닥 150","1835.35","64.09","3.62"
"305050","ACE 코스피","84505","3755","4.65","84290.56","86495","87300","84000","14490","1252482789","50703000000","0","600000","코스피","8123.62","359.67","4.63"
"457480","ACE 테슬라밸류체인액티브","23570","855","3.76","23418.02","23480","23630","23080","667861","15678768511","1075970500000","0","45650000","Bloomberg EV Supporters Plus Tesla Price Return Index","11468.88","0.00","0.00"
"469170","ACE 포스코그룹포커스","6700","305","4.77","6675.88","6700","6780","6550","1142674","7627996311","113230000000","0","16900000","FnGuide 포스코그룹포커스 지수(시장가격)","3319.40","147.32","4.64"
"466810","BNK 2차전지양극재","6840","340","5.23","6832.01","6860","7020","6675","39172","270124392","9918000000","0","1450000","iSelect 2차전지양극재 지수","5300.78","289.02","5.77"
"457930","BNK 미래전략기술액티브","33625","2055","6.51","33447.04","33960","34350","33190","621","21152388","10087500000","0","300000","iSelect 미래전략기술 지수 (PR)","7602.40","398.52","5.53"
"487750","BNK 온디바이스AI","41165","1325","3.33","41003.89","41715","43040","40820","21625","918631665","16466000000","0","400000","FnGuide 온디바이스AI 지수","11125.33","285.34","2.63"
"445690","BNK 주주가치액티브","33910","655","1.97","34127.67","34550","35125","33910","455","15748010","22041500000","0","650000","FnGuide 주주가치 지수","3274.86","61.55","1.92"
"0120J0","BNK 카카오그룹포커스","8635","215","2.55","8597.82","8665","8820","8505","128323","1110388760","11225500000","0","1300000","FnGuide 카카오그룹 포커스 지수","400.00","5.45","1.38"
