종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"289040","KODEX MSCI KOREA ESG유니버설","38640","1925","5.24","38684.77","39730","40155","38640","257","10255945","23184000000","0","600000","MSCI Korea ESG Universal Capped Index","5391.08","222.73","4.31"
"156080","KODEX MSCI Korea","61890","3430","5.87","61726.03","62745","64260","61435","9519","604713007","37134000000","0","600000","MSCI Korea Index","3140.98","270.41","9.42"
"278540","KODEX MSCI Korea TR","46315","2645","6.06","46064.85","47185","48010","45785","73083","3461404745","3149420000000","0","68000000","MSCI Korea TR Index","5836.60","278.79","5.02"
"251350","KODEX MSCI선진국","41410","275","0.67","41424.64","41970","41975","41335","51986","2154241979","530048000000","0","12800000","MSCI World","4757.44","11.81","0.25"
"269420","KODEX S&P글로벌인프라(합성)","24470","-210","-0.85","24527.88","24585","24590","24455","4715","115695502","28458610000","0","1163000","S&P Global Infrastructure Index","3760.97","0.00","0.00"
"0193T0","KODEX SK하이닉스단일종목레버리지","23920","935","4.07","23723.70","27040","27285","23920","94570674","2487395498440","2981030000000","0","124625000","KRX SK하이닉스 지수","12558.41","286.21","2.33"
"433970","KODEX TDF2030액티브 적격","14550","155","1.08","14509.41","14605","14605","14515","39516","574818209","89482500000","0","6150000","Samsung Korea Target Date 2030 Index (Price Return)","1862.50","0.00","0.00"
"433980","KODEX TDF2040액티브 적격","16770","220","1.33","16702.45","16600","16805","16600","74131","1243188128","169377000000","0","10100000","Samsung Korea Target Date 2040 Index (Price Return)","2221.59","0.00","0.00"
"434060","KODEX TDF2050액티브 적격","18335","280","1.55","18221.42","18260","18495","18260","173939","3195524707","633474250000","0","34550000","Samsung Korea Target Date 2050 Index (Price Return)","2636.10","0.00","0.00"
"0082V0","KODEX TDF2060액티브 적격","12280","265","2.21","12184.37","12120","12440","12120","210563","2586517178","176832000000","0","14400000","Samsung Korea Target Date 2060 Index","2762.58","0.00","0.00"
"329650","KODEX TRF3070","14375","-10","-0.07","14451.61","14395","14545","14355","99152","1428168326","240062500000","0","16700000","FnGuide TRF 3070 지수","1875.46","10.64","0.57"
"329660","KODEX TRF5050","18380","0","0.00","18437.38","18410","18460","18345","15057","277048153","90062000000","0","4900000","FnGuide TRF 5050 지수","2382.80","14.61","0.62"
"329670","KODEX TRF7030","22985","115","0.50","22960.27","23105","23280","22870","35458","815781595","89641500000","0","3900000","FnGuide TRF 7030 지수","2993.45","19.75","0.66"
"395170","KODEX Top10동일가중","19890","1280","6.88","19805.64","20060","20420","19695","33842","679815203","39780000000","0","2000000","FnGuide TOP10 동일가중 지수","3125.16","144.25","4.84"
"315930","KODEX Top5PlusTR","96455","4250","4.61","97051.68","99590","101555","96455","230227","23058097184","1871227000000","0","19400000","FnGuide TOP 5 Plus Total Return 지수","9942.58","442.44","4.66"
"261220","KODEX WTI원유선물(H)","23420","-1225","-4.97","23419.46","23470","23755","23365","321569","7553900467","53866000000","0","2300000","S&P GSCI Crude Oil Index ER","220.21","-4.43","-1.97"
"271050","KODEX WTI원유선물인버스(H)","2125","105","5.20","2123.27","2110","2125","2090","6896702","14538511398","280606250000","0","132050000","S&P GSCI Crude Oil Index ER","220.21","-4.43","-1.97"
"468370","KODEX iShares미국인플레이션국채액티브","12075","-40","-0.33","12072.91","10500","12090","10500","36010","434582025","20769000000","0","1720000","ICE U.S. Treasury Inflation Linked Bond Index(Total Return)","129.20","0.00","0.00"
"468630","KODEX iShares미국투자등급회사채액티브","12270","15","0.12","12269.32","12255","12290","12120","47880","587516732","36932700000","0","3010000","iBoxx USD Liquid Investment Grade Index(Total Return)","345.95","0.00","0.00"
"468380","KODEX iShares미국하이일드액티브","12130","-5","-0.04","12123.44","12100","12140","12100","82901","1004582430","108806100000","0","8970000","ICE BofAML US HY Constrained Index(Total Return)","626.64","0.00","0.00"
"275290","KODEX 가치주","39145","2040","5.50","38976.91","39785","40380","38820","5503","219793357","35230500000","0","900000","MSCI Korea IMI Enhanced Value Capped","22737.62","1047.78","4.83"
"117700","KODEX 건설","7425","405","5.77","7768.37","7920","7925","7240","3821388","28482218355","219780000000","0","29600000","KRX 건설","1494.16","92.49","6.60"
"300950","KODEX 게임산업","6090","110","1.84","6072.61","6105","6185","5985","256991","1565213311","27405000000","0","4500000","FnGuide 게임 산업 지수","742.77","6.24","0.85"
"266390","KODEX 경기소비재","17175","145","0.85","17099.86","17640","17725","17030","66596","1165529762","15457500000","0","900000","KRX 경기소비재","1935.01","-15.48","-0.79"
"279530","KODEX 고배당주","18200","310","1.73","18375.91","18360","18630","18175","435048","7994353516","369460000000","0","20300000","FnGuide 고배당 Plus 지수","27837.04","510.12","1.87"
"132030","KODEX 골드선물(H)","23620","525","2.27","23618.07","23830","23875","23540","216699","5134071889","356662000000","0","15100000","S&P GSCI Gold Index(TR)","2003.98","0.00","0.00"
"280940","KODEX 골드선물인버스(H)","3630","-90","-2.42","3611.50","3540","3630","3535","19769","70434792","3085500000","0","850000","S&P GSCI GOLD Index Excess Return","249.64","5.42","2.22"
"138910","KODEX 구리선물(H)","9875","265","2.76","9866.39","9860","9930","9840","57552","568826884","39500000000","0","4000000","S&P GSCI North American Copper Index(TR)","879.21","0.00","0.00"
"471230","KODEX 국고채10년액티브","104050","810","0.78","103990.62","103815","104060","103705","15425","1602698258","558020150000","0","5363000","KAP 국고채 10년 지수(TR)","108.04","0.00","0.00"
"439870","KODEX 국고채30년액티브","91680","1575","1.75","91471.52","91000","91680","90325","40157","3662710641","404125440000","0","4408000","KAP 국고채 30년 총수익 지수","81.36","0.00","0.00"
"114260","KODEX 국고채3년","61400","140","0.23","61391.81","61375","61420","61325","28945","1776549543","566844800000","0","9232000","MKF 국고채지수(총수익)","203.12","0.49","0.24"
"152380","KODEX 국채선물10년","65005","505","0.78","65047.35","64810","65005","64765","2540","164740987","24571890000","0","378000","10년국채선물지수","1135.52","10.98","0.98"
"176950","KODEX 국채선물10년인버스","59800","-465","-0.77","59737.09","59925","59925","59800","1037","62043440","82524000000","0","1380000","10년국채선물지수","1135.52","10.98","0.98"
"292770","KODEX 국채선물3년인버스","57675","-85","-0.15","57593.98","57675","57675","57675","1","57675","36335250000","0","630000","국채선물지수","1204.96","3.35","0.28"
"276990","KODEX 글로벌로봇(합성)","28205","-60","-0.21","28334.77","28385","28390","28205","24956","707063541","49922850000","0","1770000","ROBO Global Robotics & Automation UCITS Price Return Index","1330.75","0.00","0.00"
"476070","KODEX 글로벌비만치료제TOP2 Plus","11430","175","1.55","11449.07","11405","11450","11345","19703","224553266","37719000000","0","3300000","iSelect 글로벌 비만치료제TOP2 Plus 지수(PR)","2960.29","-0.47","-0.02"
"0064K0","KODEX 금액티브","13290","230","1.76","13321.13","13375","13440","13270","190874","2544535556","192705000000","0","14500000","Bloomberg Gold Spot NY 4pm USD Index","3595.13","0.00","0.00"
"0089D0","KODEX 금융고배당TOP10","13340","565","4.42","13430.45","13210","13745","13090","591442","7984118470","237452000000","0","17800000","코스피 200 금융 고배당 TOP 10 지수","2764.87","108.86","4.10"
"498410","KODEX 금융고배당TOP10타겟위클리커버드콜","11925","280","2.40","12007.70","11745","12155","11655","1975867","23641241148","772740000000","0","64800000","코스피 200 금융 고배당 TOP 10 타겟 15%분배 위클리 커버드콜 지수","1089.32","28.70","2.71"
"0162M0","KODEX 금융채1~2년(AA-이상)PLUS액티브","9980","10","0.10","9966.83","9985","9985","9960","473","4711490","179141000000","0","17950000","KAP 금융채 1-2년 총수익 지수","118.21","0.00","0.00"
"102960","KODEX 기계장비","16815","500","3.06","16955.52","17075","17270","16670","28668","488176010","22195800000","0","1320000","KRX 기계장비","1832.89","81.04","4.63"
"404260","KODEX 기후변화솔루션","28340","790","2.87","28623.61","29385","29705","28340","1243","36382812","25506000000","0","900000","KRX 기후변화 솔루션지수","5488.87","163.25","3.07"
"273140","KODEX 단기변동금리부채권액티브","114585","10","0.01","114595.14","114580","114595","114580","3834","439326660","274660245000","0","2397000","KAP 단기변동금리부은행채권지수","147.76","0.00","0.00"
"153130","KODEX 단기채권","113090","10","0.01","113118.09","113085","113105","113085","11420","1291487135","841163420000","0","7438000","KRW Cash 지수(총수익)","174.16","0.05","0.03"
"214980","KODEX 단기채권PLUS","114415","-5","0.00","114431.41","114425","114425","114400","24858","2844104176","2061186225000","0","18015000","KRW Cash PLUS 지수(총수익)","169.04","0.05","0.03"
"487950","KODEX 대만테크고배당다우존스","14760","40","0.27","14715.44","14745","15210","14710","106825","1594673210","20664000000","0","1400000","Dow Jones Taiwan Technology Dividend 30 Index(TWD)(PR)","3952.41","0.00","0.00"
"122630","KODEX 레버리지","182370","15640","9.38","183315.38","191000","198880","182370","16082323","3098102637898","9510595500000","0","52150000","코스피 200","1291.32","59.78","4.85"
"445290","KODEX 로봇액티브","39965","1475","3.83","39802.01","40200","41880","39515","2048371","84146737906","1518670000000","0","38000000","iSelect K-로봇테마 지수","4659.41","171.99","3.83"
"488770","KODEX 머니마켓액티브","104615","25","0.02","104618.43","104610","104615","104610","1030015","107752609747","7989866010000","0","76374000","KAP MMF 지수(TR)","120.72","0.00","0.00"
"321410","KODEX 멀티에셋하이인컴(H)","10680","120","1.14","10684.26","10825","10845","10680","113","1220500","5340000000","0","500000","Morningstar Multi-Asset High Income 10% Capped Index","1116.69","0.00","0.00"
"337120","KODEX 멀티팩터","41455","2305","5.89","41255.05","42025","42795","41455","4644","195144165","24873000000","0","600000","FnGuide 멀티팩터 지수","25913.95","1113.29","4.49"
"401470","KODEX 메타버스액티브","10590","85","0.81","10659.55","10915","11030","10590","22341","243447594","68305500000","0","6450000","FnGuide K-메타버스 지수","1310.97","5.26","0.40"
"244620","KODEX 모멘텀Plus","25955","1485","6.07","25915.35","26405","26540","25480","1444","37572175","18168500000","0","700000","FnGuide 모멘텀 Plus 지수","8483.91","405.47","5.02"
"275280","KODEX 모멘텀주","51270","2570","5.28","51081.71","52215","53135","50895","5881","308706576","41016000000","0","800000","MSCI Korea IMI Momentum Capped","16511.19","697.09","4.41"
"308620","KODEX 미국10년국채선물","12800","5","0.04","12805.24","12785","12815","12765","81447","1042405552","104960000000","0","8200000","S&P 10-Year U.S. Treasury Note Futures KRW(ER)","246.03","0.00","0.00"
"0091C0","KODEX 미국10년국채액티브(H)","9750","55","0.57","9752.64","9755","9755","9715","117350","1143862787","179692500000","0","18430000","KAP 미국 국채 10년 지수(총수익)","92.07","0.00","0.00"
"484790","KODEX 미국30년국채액티브(H)","8610","85","1.00","8630.98","8615","8615","8535","948429","8162545869","639120300000","0","74230000","KEDI-KAP 미국 국채 20+ 지수(TR)","71.83","0.00","0.00"
"304660","KODEX 미국30년국채울트라선물(H)","7505","75","1.01","7536.82","7515","7520","7450","177617","1333652712","159106000000","0","21200000","S&P Ultra T-Bond Futures Index(ER)","108.49","-0.06","-0.06"
"304670","KODEX 미국30년국채울트라선물인버스(H)","11890","-135","-1.12","11905.22","11880","11900","11880","5218","62007635","7134000000","0","600000","S&P Ultra T-Bond Futures Index(ER)","108.49","-0.06","-0.06"
"481060","KODEX 미국30년국채타겟커버드콜(합성 H)","7750","40","0.52","7801.12","7760","7775","7745","665224","5159020195","835837500000","0","107850000","Bloomberg U.S.Treasury 20+ Year(TLT)+ 12% Premium Covered Call index(TR)","934.38","0.00","0.00"
"0173Y0","KODEX 미국AI광통신네트워크","14365","320","2.28","14361.07","14480","14750","14295","2306202","33578306706","512830500000","0","35700000","Akros 미국 AI 광통신 및 네트워크 인프라 지수(PR)","17231.37","0.00","0.00"
"0151S0","KODEX 미국AI반도체TOP3플러스","17280","530","3.16","17392.44","17475","17650","17250","340386","5949872442","238464000000","0","13800000","Akros 미국 AI 반도체 Top 3 플러스 지수 (Price Return)","29548.65","0.00","0.00"
"0041D0","KODEX 미국AI소프트웨어TOP10","13085","-40","-0.30","13060.86","13100","13175","13020","111401","1462561171","57574000000","0","4400000","iSelect 미국 AI 소프트웨어 TOP10 지수(PR)","3120.05","0.00","0.00"
"487230","KODEX 미국AI전력핵심인프라","24510","1020","4.34","24484.86","24685","24690","24365","1121006","27490943968","1881142500000","0","76750000","iSelect 미국AI전력핵심인프라 지수(Price Return)","10028.70","0.00","0.00"
"485540","KODEX 미국AI테크TOP10","16095","75","0.47","16088.62","16140","16270","16080","396495","6409068097","329142750000","0","20450000","KEDI 미국AI테크 TOP10 지수(PR)","12697.22","0.00","0.00"
"483280","KODEX 미국AI테크TOP10타겟커버드콜","12785","40","0.31","12780.73","12820","12920","12775","464893","5966613360","517792500000","0","40500000","KEDI 미국 AI 테크 TOP10+15%프리미엄 지수(Total Return)","10107.07","0.00","0.00"
"428560","KODEX 미국ETF산업Top10 Indxx","16375","-275","-1.65","16361.13","16405","16425","16305","9400","154100639","13100000000","0","800000","Indxx US ETF Industry Top10 Index(Price Return)","3589.55","0.00","0.00"
"379800","KODEX 미국S&P500","25420","175","0.69","25449.67","25440","25510","25400","27939149","711502686972","9735860000000","0","383000000","S&P 500","7394.30","0.00","0.00"
"449180","KODEX 미국S&P500(H)","16565","205","1.25","16574.81","16590","16630","16555","554561","9197790914","916872750000","0","55350000","S&P 500","7394.30","0.00","0.00"
"453660","KODEX 미국S&P500경기소비재","18995","270","1.44","19065.99","19070","19080","18970","787","14956840","14246250000","0","750000","S&P Consumer Discretionary Select Sector Index(Price Return)","2348.39","0.00","0.00"
"453650","KODEX 미국S&P500금융","19505","-5","-0.03","19574.50","19585","19585","19455","15508","302731884","44861500000","0","2300000","S&P Financial Select Sector Index(Price Return)","647.52","0.00","0.00"
"0005A0","KODEX 미국S&P500데일리커버드콜OTM","10465","125","1.21","10424.67","10465","10500","10460","151731","1589507166","176858500000","0","16900000","S&P 500 Covered Call 1% OTM Daily Index(TR)","392.33","0.00","0.00"
"276970","KODEX 미국S&P500배당귀족커버드콜(합성 H)","7500","45","0.60","7633.04","7595","7595","7500","21295","159932730","35250000000","0","4700000","S&P500 Dividend Aristocrats Covered Call(7.2% Premium) Index","107.68","0.00","0.00"
"0026E0","KODEX 미국S&P500버퍼3월액티브","12405","5","0.04","12496.07","12510","12510","12395","6670","82740120","22949250000","0","1850000","S&P500 10% Buffered Index March Series (USD) TR","215.81","0.00","0.00"
"0068M0","KODEX 미국S&P500버퍼6월액티브","12755","60","0.47","12783.31","12695","12805","12695","792","10140800","63775000000","0","5000000","S&P500 10% Buffered Index June Series (USD) TR","428.74","0.00","0.00"
"0089C0","KODEX 미국S&P500변동성확대시커버드콜","12045","60","0.50","12163.40","12040","12155","12030","2343","28258971","78894750000","0","6550000","Cboe S&P 500 Volatility Contingent Daily Covered Call Index(Total Retrun)","3337.11","0.00","0.00"
"200030","KODEX 미국S&P500산업재(합성)","45895","940","2.09","45968.33","45955","46000","45790","1936","88931065","52320300000","0","1140000","S&P Select Sector Industrial Index","1763.59","0.00","0.00"
"219480","KODEX 미국S&P500선물(H)","31950","370","1.17","31933.48","32040","32080","31917","34711","1109300316","151762500000","0","4750000","S&P 500 Futures Total Return Index","1117.18","-1.20","-0.11"
"0041E0","KODEX 미국S&P500액티브","18045","525","3.00","18032.58","18180","18180","18000","170046","3073801671","128119500000","0","7100000","S&P 500","7394.30","0.00","0.00"
"218420","KODEX 미국S&P500에너지(합성)","20070","-545","-2.64","20154.80","20280","20280","20070","55199","1111565907","49291920000","0","2456000","S&P Select Sector Energy Index","1194.92","0.00","0.00"
"463640","KODEX 미국S&P500유틸리티","15310","-205","-1.32","15494.84","15515","15515","15310","12282","188736547","13013500000","0","850000","S&P Utilities Select Sector Index(Price Return)","887.16","0.00","0.00"
"463690","KODEX 미국S&P500커뮤니케이션","19725","10","0.05","19756.36","19740","19785","19690","5619","111047540","11835000000","0","600000","S&P Communication Services Select Sector Index(Price Return)","585.51","0.00","0.00"
"463680","KODEX 미국S&P500테크놀로지","23985","70","0.29","24044.79","24365","24630","23590","76471","1849242772","106733250000","0","4450000","S&P Technology Select Sector Index(Price Return)","3689.07","0.00","0.00"
"453630","KODEX 미국S&P500필수소비재","13595","-190","-1.38","13654.36","13640","13640","13540","38510","522904229","18353250000","0","1350000","S&P Consumer Staples Select Sector Index(Price Return)","858.64","0.00","0.00"
"453640","KODEX 미국S&P500헬스케어","14140","40","0.28","14162.37","14105","14195","14085","60800","858318526","60802000000","0","4300000","S&P Health Care Select Sector Index(Price Return)","1553.84","0.00","0.00"
"185680","KODEX 미국S&P바이오(합성)","42790","695","1.65","43181.82","43170","43175","42775","3622","156172490","22336380000","0","522000","S&P Biotechnology Select Industry Index","10372.43","0.00","0.00"
"0028X0","KODEX 미국금융테크액티브","11235","105","0.94","11252.36","11280","11280","11185","3605","40447588","17976000000","0","1600000","iSelect 미국 차세대 파이낸셜 테크 지수(시장가격)","1022.61","0.00","0.00"
"379810","KODEX 미국나스닥100","29645","515","1.77","29718.35","29755","29860","29620","6719558","199944049562","8545171250000","0","288250000","NASDAQ 100","29446.18","0.00","0.00"
"449190","KODEX 미국나스닥100(H)","22225","510","2.35","22261.42","22340","22395","22180","643515","14342334700","587851250000","0","26450000","NASDAQ 100","29446.18","0.00","0.00"
