종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"487580","폴레드","KOSDAQ","","3100","-20","-0.64","78066869100"
"487720","키움제10호스팩","KOSDAQ","","2035","-10","-0.49","8608050000"
"487830","신한제15호스팩","KOSDAQ","","2045","0","0.00","8895750000"
"488060","유진스팩11호","KOSDAQ","","2035","0","0.00","9605200000"
"488280","에스투더블유","KOSDAQ","","14850","3100","26.38","160758467100"
"488900","비츠로넥스텍","KOSDAQ","","9910","-120","-1.2","287156550130"
"489210","교보17호스팩","KOSDAQ","","2040","0","0.00","10567200000"
"489460","바이오비쥬","KOSDAQ","","11790","800","7.28","173941253730"
"489480","키움제11호스팩","KOSDAQ","","2200","0","0.00","14520000000"
"489500","엘케이켐","KOSDAQ","","20700","-450","-2.13","132298626600"
"489730","디비금융제13호스팩","KOSDAQ","","2030","0","0.00","12853960000"
"490470","세미파이브","KOSDAQ","","15240","-640","-4.03","518547705600"
"491000","리브스메드","KOSDAQ","","32550","-1100","-3.27","822059071050"
"492220","KB제31호스팩","KOSDAQ","","2035","0","0.00","12637350000"
"493280","아이엠바이오로직스","KOSDAQ","","15900","920","6.14","235901129100"
"493330","지에프아이","KOSDAQ","","12820","-960","-6.97","103066556660"
"493790","유안타제17호스팩","KOSDAQ","","2025","5","0.25","10752750000"
"494120","큐리오시스","KOSDAQ","","8330","10","0.12","127113834120"
"496070","신한제16호스팩","KOSDAQ","","1995","-1","-0.05","11211900000"
"498390","한화플러스제5호스팩","KOSDAQ","","2035","0","0.00","10093600000"
"900070","글로벌에스엠","KOSDAQ","","1003","4","0.4","26952599952"
"900100","파이온엑스","KOSDAQ","","2170","20","0.93","11449028500"
"900110","딥커머스","KOSDAQ","","1201","0","0.00","22142994331"
"900120","씨엑스아이","KOSDAQ","","1040","0","0.00","17336446400"
"900250","크리스탈신소재","KOSDAQ","","1185","7","0.59","42440776185"
"900260","로스웰","KOSDAQ","","1936","26","1.36","89113510816"
"900270","헝셩그룹","KOSDAQ","","3565","455","14.63","38189306720"
"900290","GRT","KOSDAQ","","3645","-35","-0.95","304395932880"
"900300","오가닉티코스메틱","KOSDAQ","","3315","85","2.63","68223021555"
"900310","컬러레이","KOSDAQ","","2135","-35","-1.61","27345795225"
"900340","윙입푸드","KOSDAQ","","1406","2","0.14","50029321192"
"950130","엑세스바이오","KOSDAQ","","2475","25","1.02","87055239150"
"950140","잉글우드랩","KOSDAQ","","8280","210","2.6","164505930480"
"950160","코오롱티슈진","KOSDAQ","","16850","-410","-2.38","1431747196000"
"950170","JTC","KOSDAQ","","4320","0","0.00","210699856800"
"950190","고스트스튜디오","KOSDAQ","","9730","130","1.35","126655984070"
"950200","소마젠","KOSDAQ","","3220","65","2.06","61940090660"
"950220","네오이뮨텍","KOSDAQ","","2115","-10","-0.47","72358041600"
"950250","테라뷰","KOSDAQ","","3500","-160","-4.37","124939262000"
"950260","인제니아테라퓨틱스(Reg.S)","KOSDAQ","","15450","-1060","-6.42","763919178150"
