종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"0001A0","덕양에너젠","KOSDAQ","","8910","120","1.37","226928451420"
"000250","삼천당제약","KOSDAQ","","157000","1600","1.03","3682823104000"
"000440","중앙에너비스","KOSDAQ","","11900","290","2.5","74102847000"
"0004V0","엔비알모션","KOSDAQ","","5510","510","10.2","60667215840"
"0004Y0","디비금융제14호스팩","KOSDAQ","","1997","-3","-0.15","10614055000"
"0007C0","아크릴","KOSDAQ","","16400","1820","12.48","131697313600"
"0007J0","인벤테라","KOSDAQ","","8190","300","3.8","64420197660"
"0008Z0","에스엔시스","KOSDAQ","","24600","-450","-1.8","232139474400"
"0009K0","에임드바이오","KOSDAQ","","23450","1050","4.69","1516538725450"
"001000","신라섬유","KOSDAQ","","462","0","0.00","11216223480"
"0010F0","보원케미칼","KOSDAQ","","2145","-60","-2.72","23903024145"
"0010V0","제이피아이헬스케어","KOSDAQ","","8750","20","0.23","44672250000"
"0011A0","액스비스","KOSDAQ","","8320","380","4.79","77656716800"
"0011T0","채비","KOSDAQ","","4555","160","3.64","213855387005"
"0013V0","삼진식품","KOSDAQ","","4990","-20","-0.4","49494093440"
"001540","안국약품","KOSDAQ","","10490","-250","-2.33","136814985800"
"0015G0","그린광학","KOSDAQ","","14080","620","4.61","164771777280"
"0015N0","아로마티카","KOSDAQ","","10120","740","7.89","127278450640"
"0015S0","페스카로","KOSDAQ","","6830","160","2.4","67389765900"
"0017J0","세미티에스","KOSDAQ","","2545","5","0.2","76734399345"
"001810","무림SP","KOSDAQ","","1177","2","0.17","26055837500"
"001840","이화공영","KOSDAQ","","2215","0","0.00","62588831935"
"002230","피에스텍","KOSDAQ","","5050","0","0.00","93026403500"
"002290","삼일기업공사","KOSDAQ","","3365","0","0.00","41726000000"
"002680","한탑","KOSDAQ","","2700","-45","-1.64","17451069300"
"002800","신신제약","KOSDAQ","","4610","50","1.1","69936005000"
"003100","선광","KOSDAQ","","21050","150","0.72","138930000000"
"003310","대주산업","KOSDAQ","","1682","22","1.33","59529932700"
"003380","하림지주","KOSDAQ","","11020","130","1.19","1234301943420"
"0037T0","KB제32호스팩","KOSDAQ","","1995","-1","-0.05","12628350000"
"003800","에이스침대","KOSDAQ","","32800","-50","-0.15","363752000000"
"0039P0","매드업","KOSDAQ","","8180","350","4.47","153844532000"
"0041B0","교보18호스팩","KOSDAQ","","2015","0","0.00","10155600000"
"0041J0","엘에스스팩1호","KOSDAQ","","1994","0","0.00","8195340000"
"0041L0","하나35호스팩","KOSDAQ","","1990","-2","-0.1","11999700000"
"0044K0","삼성스팩10호","KOSDAQ","","1991","-2","-0.1","14972320000"
"004590","한국가구","KOSDAQ","","5080","80","1.6","76200000000"
"004650","창해에탄올","KOSDAQ","","9400","0","0.00","86394319000"
"004780","대륙제관","KOSDAQ","","4200","35","0.84","66793435800"
"005160","동국산업","KOSDAQ","","2560","40","1.59","138865873920"
"005290","동진쎄미켐","KOSDAQ","","40250","500","1.26","2051547571500"
"0054V0","엔에이치스팩32호","KOSDAQ","","2010","0","0.00","12495165000"
"005670","푸드웰","KOSDAQ","","6490","130","2.04","64900000000"
"005710","대원산업","KOSDAQ","","10650","230","2.21","213400440000"
"005860","한일사료","KOSDAQ","","2400","15","0.63","94568844000"
"005990","매일홀딩스","KOSDAQ","","10960","-20","-0.18","145749411840"
"006050","국영지앤엠","KOSDAQ","","4795","0","0.00","16732267580"
"006140","피제이전자","KOSDAQ","","4750","100","2.15","70608750000"
"006620","동구바이오제약","KOSDAQ","","3605","95","2.71","102616296160"
"006730","서부T&D","KOSDAQ","","11210","100","0.9","720544306830"
"0068Y0","비엔케이제3호스팩","KOSDAQ","","1979","-6","-0.3","8529490000"
"006910","보성파워텍","KOSDAQ","","6780","60","0.89","333100206720"
"006920","모헨즈","KOSDAQ","","3390","-70","-2.02","37018800000"
"0071M0","삼성스팩11호","KOSDAQ","","1978","-1","-0.05","11393280000"
"0072Z0","KB제33호스팩","KOSDAQ","","1986","8","0.4","15659610000"
"007330","푸른저축은행","KOSDAQ","","10070","-30","-0.3","151883796000"
"007370","진양제약","KOSDAQ","","4020","5","0.12","56821039740"
"007390","네이처셀","KOSDAQ","","23950","50","0.21","1543219591200"
"007530","와이엠","KOSDAQ","","1578","-20","-1.25","35117176518"
"007680","대원","KOSDAQ","","3365","5","0.15","44494513370"
"007720","소노스퀘어","KOSDAQ","","1259","13","1.04","25381553310"
"007770","한일화학","KOSDAQ","","8220","30","0.37","28852200000"
"007820","엠엑스로보틱스","KOSDAQ","","3870","170","4.59","77531371020"
"008290","원풍물산","KOSDAQ","","427","-183","-30.00","8688100253"
"0082N0","카나프테라퓨틱스","KOSDAQ","","15600","-560","-3.47","207489048000"
"008370","원풍","KOSDAQ","","4990","-20","-0.4","59880000000"
"008470","부스타","KOSDAQ","","1700","20","1.19","28576320000"
"008830","대동기어","KOSDAQ","","6320","90","1.44","121229709120"
"0088D0","메리츠제1호스팩","KOSDAQ","","2080","0","0.00","12053600000"
"0088M0","메쥬","KOSDAQ","","12970","520","4.18","128166297500"
"0091W0","신영스팩11호","KOSDAQ","","2020","5","0.25","12257360000"
"009300","삼아제약","KOSDAQ","","14000","50","0.36","89180000000"
"0093G0","미래에셋비전스팩8호","KOSDAQ","","1981","-2","-0.1","12678400000"
"009520","포스코엠텍","KOSDAQ","","12650","150","1.2","526780192950"
"009620","삼보산업","KOSDAQ","","870","0","0.00","15201551760"
