종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"0001A0","덕양에너젠","KOSDAQ","","9100","290","3.29","231767554200"
"000250","삼천당제약","KOSDAQ","","171000","-1800","-1.04","4011227712000"
"000440","중앙에너비스","KOSDAQ","","11610","30","0.26","72296979300"
"0004V0","엔비알모션","KOSDAQ","","5430","-170","-3.04","59786385120"
"0004Y0","디비금융제14호스팩","KOSDAQ","","1988","-12","-0.6","10566220000"
"0007C0","아크릴","KOSDAQ","","15040","-340","-2.21","120776072960"
"0007J0","인벤테라","KOSDAQ","","8720","120","1.4","68589026080"
"0008Z0","에스엔시스","KOSDAQ","","24850","1000","4.19","234498615400"
"0009K0","에임드바이오","KOSDAQ","","25100","-600","-2.33","1623246141100"
"001000","신라섬유","KOSDAQ","","462","0","0.00","11216223480"
"0010F0","보원케미칼","KOSDAQ","","2175","25","1.16","24237332175"
"0010V0","제이피아이헬스케어","KOSDAQ","","8610","-240","-2.71","43957494000"
"0011A0","액스비스","KOSDAQ","","8500","10","0.12","79336790000"
"0011T0","채비","KOSDAQ","","5010","65","1.31","235217450910"
"0013V0","삼진식품","KOSDAQ","","5180","40","0.78","51378638080"
"001540","안국약품","KOSDAQ","","10930","80","0.74","142553650600"
"0015G0","그린광학","KOSDAQ","","14720","-240","-1.6","172261403520"
"0015N0","아로마티카","KOSDAQ","","10110","1250","14.11","127152681420"
"0015S0","페스카로","KOSDAQ","","7260","-20","-0.27","71632459800"
"0017J0","세미티에스","KOSDAQ","","2675","10","0.38","80654034675"
"001810","무림SP","KOSDAQ","","1170","-11","-0.93","25900875000"
"001840","이화공영","KOSDAQ","","2215","0","0.00","62588831935"
"002230","피에스텍","KOSDAQ","","5330","40","0.76","98184303100"
"002290","삼일기업공사","KOSDAQ","","3375","5","0.15","41850000000"
"002680","한탑","KOSDAQ","","2510","125","5.24","16223031090"
"002800","신신제약","KOSDAQ","","4590","70","1.55","69632595000"
"003100","선광","KOSDAQ","","21100","150","0.72","139260000000"
"003310","대주산업","KOSDAQ","","1695","34","2.05","59990033250"
"003380","하림지주","KOSDAQ","","11050","490","4.64","1237662112050"
"0037T0","KB제32호스팩","KOSDAQ","","1990","-3","-0.15","12596700000"
"003800","에이스침대","KOSDAQ","","33050","350","1.07","366524500000"
"0039P0","매드업","KOSDAQ","","6830","-40","-0.58","128454542000"
"0041B0","교보18호스팩","KOSDAQ","","2010","-5","-0.25","10130400000"
"0041J0","엘에스스팩1호","KOSDAQ","","1989","-7","-0.35","8174790000"
"0041L0","하나35호스팩","KOSDAQ","","1995","-3","-0.15","12029850000"
"0044K0","삼성스팩10호","KOSDAQ","","1995","1","0.05","15002400000"
"004590","한국가구","KOSDAQ","","4950","0","0.00","74250000000"
"004650","창해에탄올","KOSDAQ","","9440","0","0.00","86761954400"
"004780","대륙제관","KOSDAQ","","4115","25","0.61","65441663885"
