종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"000020","동화약품","KOSPI","","5040","-30","-0.59","140774608800"
"000040","KR모터스","KOSPI","","1097","-4","-0.36","21583514492"
"000050","경방","KOSPI","","8090","-60","-0.74","221789534300"
"000070","삼양홀딩스","KOSPI","","57500","-2800","-4.64","446383482500"
"000080","하이트진로","KOSPI","","14850","-190","-1.26","1041484123350"
"000087","하이트진로2우B","KOSPI","","12350","30","0.24","13957204300"
"000100","유한양행","KOSPI","","75900","-1600","-2.06","5587437777900"
"000105","유한양행우","KOSPI","","66000","-700","-1.05","75790440000"
"000120","CJ대한통운","KOSPI","","70500","-700","-0.98","1608270252000"
"000140","하이트진로홀딩스","KOSPI","","7860","10","0.13","182405172900"
"000145","하이트진로홀딩스우","KOSPI","","9200","-50","-0.54","4331452000"
"000150","두산","KOSPI","","1447000","42000","2.99","23432479245000"
"000155","두산우","KOSPI","","471000","27000","6.08","1882333602000"
"000157","두산2우B","KOSPI","","369000","19000","5.43","329531022000"
"000180","성창기업지주","KOSPI","","5000","5","0.1","69751600000"
"000210","DL","KOSPI","","54500","200","0.37","1142095678000"
"000215","DL우","KOSPI","","25650","250","0.98","43248849750"
"000220","유유제약","KOSPI","","3840","-10","-0.26","60470254080"
"000225","유유제약1우","KOSPI","","3690","-10","-0.27","8364971700"
"000227","유유제약2우B","KOSPI","","7930","350","4.62","2561072800"
"000230","일동홀딩스","KOSPI","","6020","10","0.17","69473208000"
"000240","한국앤컴퍼니","KOSPI","","24500","-150","-0.61","2325913380000"
"000270","기아","KOSPI","","121900","1000","0.83","47591344456200"
"000300","DH오토넥스","KOSPI","","4200","0","0.00","174035631000"
"000320","노루홀딩스","KOSPI","","15940","-110","-0.69","211860946940"
"000325","노루홀딩스우","KOSPI","","28700","1400","5.13","6990143300"
"000370","한화손해보험","KOSPI","","8070","-220","-2.65","942083044050"
"000390","SP삼화","KOSPI","","7040","110","1.59","191512421760"
"000400","롯데손해보험","KOSPI","","2060","-40","-1.9","639292819200"
"000430","대원강업","KOSPI","","4845","-80","-1.62","300390000000"
"000480","CR홀딩스","KOSPI","","4275","-85","-1.95","200456844750"
"000490","대동","KOSPI","","7820","-30","-0.38","225426084300"
"000500","가온전선","KOSPI","","327000","66500","25.53","9737277489000"
"000520","삼일제약","KOSPI","","7760","290","3.88","168328453360"
"000540","흥국화재","KOSPI","","3510","-75","-2.09","225491683950"
"000545","흥국화재우","KOSPI","","5920","-20","-0.34","4546560000"
"000590","CS홀딩스","KOSPI","","67700","200","0.3","78158431400"
"000640","동아쏘시오홀딩스","KOSPI","","93600","600","0.65","630164527200"
"000650","천일고속","KOSPI","","143600","0","0.00","205235992000"
"000660","SK하이닉스","KOSPI","","1857000","112000","6.42","1356524321805000"
"000670","영풍","KOSPI","","47450","1150","2.48","873586908350"
"000680","LS네트웍스","KOSPI","","2955","-30","-1.01","232862912280"
"000700","유수홀딩스","KOSPI","","6630","-90","-1.34","172657213560"
"000720","현대건설","KOSPI","","124800","-500","-0.4","13897199472000"
"000725","현대건설우","KOSPI","","52900","-1400","-2.58","55793259700"
"000760","이화산업","KOSPI","","12730","-100","-0.78","35644000000"
"000810","삼성화재","KOSPI","","648000","-18000","-2.7","28931562504000"
"000815","삼성화재우","KOSPI","","403500","-13000","-3.12","1213332570000"
"000850","화천기공","KOSPI","","39550","1150","2.99","87010000000"
"000860","강남제비스코","KOSPI","","12510","-10","-0.08","162630000000"
"000880","한화","KOSPI","","132500","-5500","-3.99","7066078852500"
"00088K","한화3우B","KOSPI","","40550","-1450","-3.45","595136657150"
"000890","보해양조","KOSPI","","1341","11","0.83","37043817525"
"000910","유니온","KOSPI","","2935","0","0.00","45820101765"
"000950","전방","KOSPI","","31150","750","2.47","52332000000"
"000970","한국주철관","KOSPI","","6600","10","0.15","150483300000"
"000990","DB하이텍","KOSPI","","126100","1600","1.29","5485928546800"
"001020","페이퍼코리아","KOSPI","","2030","-140","-6.45","72261223860"
"001040","CJ","KOSPI","","127500","-3700","-2.82","3720067245000"
"001045","CJ우","KOSPI","","64000","-4300","-6.3","144654272000"
