종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"000020","동화약품","KOSPI","","5210","10","0.19","145522958700"
"000040","KR모터스","KOSPI","","1310","-91","-6.5","22630297160"
"000050","경방","KOSPI","","8160","-10","-0.12","223708603200"
"000070","삼양홀딩스","KOSPI","","60500","-500","-0.82","469673055500"
"000080","하이트진로","KOSPI","","15540","-50","-0.32","1089876314940"
"000087","하이트진로2우B","KOSPI","","12390","50","0.41","14002409820"
"000100","유한양행","KOSPI","","81400","0","0.00","5992324573400"
"000105","유한양행우","KOSPI","","69900","100","0.14","80268966000"
"000120","CJ대한통운","KOSPI","","73400","-100","-0.14","1674426049600"
"000140","하이트진로홀딩스","KOSPI","","8030","10","0.12","186350322950"
"000145","하이트진로홀딩스우","KOSPI","","9280","70","0.76","4369116800"
"000150","두산","KOSPI","","1142000","17000","1.51","18493359570000"
"000155","두산우","KOSPI","","401500","2000","0.5","1604579493000"
"000157","두산2우B","KOSPI","","331500","5000","1.53","296042097000"
"000180","성창기업지주","KOSPI","","5210","20","0.39","72681167200"
"000210","DL","KOSPI","","53600","-1400","-2.55","1123235382400"
"000215","DL우","KOSPI","","24800","150","0.61","41815652000"
"000220","유유제약","KOSPI","","3840","35","0.92","60470254080"
"000225","유유제약1우","KOSPI","","3635","-65","-1.76","8240290550"
"000227","유유제약2우B","KOSPI","","7580","200","2.71","2448036800"
"000230","일동홀딩스","KOSPI","","6300","0","0.00","72704520000"
"000240","한국앤컴퍼니","KOSPI","","24550","150","0.61","2330660142000"
"000270","기아","KOSPI","","126500","-900","-0.71","49387244247000"
"000300","DH오토넥스","KOSPI","","4200","0","0.00","174035631000"
"000320","노루홀딩스","KOSPI","","17090","140","0.83","227145770590"
"000325","노루홀딩스우","KOSPI","","27500","-250","-0.9","6697872500"
"000370","한화손해보험","KOSPI","","8420","-530","-5.92","982941664300"
"000390","SP삼화","KOSPI","","6410","-70","-1.08","174374236290"
"000400","롯데손해보험","KOSPI","","2050","-95","-4.43","636189456000"
"000430","대원강업","KOSPI","","4390","55","1.27","272180000000"
"000480","CR홀딩스","KOSPI","","4525","-5","-0.11","212179467250"
"000490","대동","KOSPI","","8400","150","1.82","242145666000"
"000500","가온전선","KOSPI","","212000","3500","1.68","6312852684000"
"000520","삼일제약","KOSPI","","6230","150","2.47","135139982530"
"000540","흥국화재","KOSPI","","3695","-265","-6.69","237376573275"
"000545","흥국화재우","KOSPI","","5800","-40","-0.68","4454400000"
"000590","CS홀딩스","KOSPI","","66900","200","0.3","77234845800"
"000640","동아쏘시오홀딩스","KOSPI","","92600","-1400","-1.49","623432000200"
"000650","천일고속","KOSPI","","143700","600","0.42","205378914000"
"000660","SK하이닉스","KOSPI","","1647000","51000","3.2","1203120925155000"
"000670","영풍","KOSPI","","39300","-700","-1.75","723539841900"
"000680","LS네트웍스","KOSPI","","3030","-10","-0.33","238773138480"
"000700","유수홀딩스","KOSPI","","6640","50","0.76","172917631680"
"000720","현대건설","KOSPI","","119700","200","0.17","13329285070500"
"000725","현대건설우","KOSPI","","53000","200","0.38","55898729000"
"000760","이화산업","KOSPI","","13600","-60","-0.44","38080000000"
"000810","삼성화재","KOSPI","","663000","-39000","-5.56","29601274599000"
"000815","삼성화재우","KOSPI","","430500","-11000","-2.49","1294522110000"
"000850","화천기공","KOSPI","","35650","250","0.71","78430000000"
"000860","강남제비스코","KOSPI","","12650","60","0.48","164450000000"
"000880","한화","KOSPI","","137400","3700","2.77","7327390447800"
"00088K","한화3우B","KOSPI","","41200","850","2.11","604676455600"
"000890","보해양조","KOSPI","","1406","-35","-2.43","38839379150"
