종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"000020","동화약품","KOSPI","","5170","30","0.58","144405699900"
"000040","KR모터스","KOSPI","","1152","1","0.09","22665641472"
"000050","경방","KOSPI","","8190","20","0.24","224531061300"
"000070","삼양홀딩스","KOSPI","","60200","-300","-0.5","467344098200"
"000080","하이트진로","KOSPI","","15320","20","0.13","1074446920520"
"000087","하이트진로2우B","KOSPI","","12330","20","0.16","13934601540"
"000100","유한양행","KOSPI","","79400","500","0.63","5845093011400"
"000105","유한양행우","KOSPI","","67900","-100","-0.15","77972286000"
"000120","CJ대한통운","KOSPI","","72200","500","0.7","1647051236800"
"000140","하이트진로홀딩스","KOSPI","","8000","-50","-0.62","185654120000"
"000145","하이트진로홀딩스우","KOSPI","","9250","60","0.65","4354992500"
"000150","두산","KOSPI","","1356000","34000","2.57","21958840260000"
"000155","두산우","KOSPI","","448000","2500","0.56","1790414976000"
"000157","두산2우B","KOSPI","","366500","10000","2.81","327298427000"
"000180","성창기업지주","KOSPI","","5120","0","0.00","71425638400"
"000210","DL","KOSPI","","55000","200","0.36","1152573620000"
"000215","DL우","KOSPI","","25700","0","0.00","43333155500"
"000220","유유제약","KOSPI","","3855","0","0.00","60706466010"
"000225","유유제약1우","KOSPI","","3660","-5","-0.14","8296963800"
"000227","유유제약2우B","KOSPI","","7500","-40","-0.53","2422200000"
"000230","일동홀딩스","KOSPI","","6110","-100","-1.61","70511844000"
"000240","한국앤컴퍼니","KOSPI","","24500","-700","-2.78","2325913380000"
"000270","기아","KOSPI","","126600","-400","-0.31","49426285546800"
"000300","DH오토넥스","KOSPI","","4200","0","0.00","174035631000"
"000320","노루홀딩스","KOSPI","","16670","-210","-1.24","221563487170"
"000325","노루홀딩스우","KOSPI","","27600","-200","-0.72","6722228400"
"000370","한화손해보험","KOSPI","","8420","40","0.48","982941664300"
"000390","SP삼화","KOSPI","","6650","40","0.61","180903068850"
"000400","롯데손해보험","KOSPI","","2120","15","0.71","657912998400"
"000430","대원강업","KOSPI","","4825","20","0.42","299150000000"
"000480","CR홀딩스","KOSPI","","4485","-15","-0.33","210303847650"
"000490","대동","KOSPI","","8110","20","0.25","233785875150"
"000500","가온전선","KOSPI","","254000","4000","1.6","7563512178000"
"000520","삼일제약","KOSPI","","7200","180","2.56","156181039200"
"000540","흥국화재","KOSPI","","3675","-30","-0.81","236091720375"
"000545","흥국화재우","KOSPI","","5820","110","1.93","4469760000"
"000590","CS홀딩스","KOSPI","","66500","-500","-0.75","76773053000"
"000640","동아쏘시오홀딩스","KOSPI","","90700","-200","-0.22","610640198900"
"000650","천일고속","KOSPI","","143300","-200","-0.14","204807226000"
"000660","SK하이닉스","KOSPI","","1812000","-41000","-2.21","1323652165380000"
"000670","영풍","KOSPI","","38450","-950","-2.41","707890761350"
"000680","LS네트웍스","KOSPI","","3000","15","0.5","236409048000"
"000700","유수홀딩스","KOSPI","","6570","240","3.79","171094704840"
"000720","현대건설","KOSPI","","134900","3700","2.82","15021892698500"
"000725","현대건설우","KOSPI","","55200","600","1.1","58219053600"
"000760","이화산업","KOSPI","","13900","0","0.00","38920000000"
"000810","삼성화재","KOSPI","","686000","39000","6.03","30628166478000"
"000815","삼성화재우","KOSPI","","422500","4000","0.96","1270465950000"
"000850","화천기공","KOSPI","","36200","-500","-1.36","79640000000"
"000860","강남제비스코","KOSPI","","12640","60","0.48","164320000000"
"000880","한화","KOSPI","","137300","-1300","-0.94","7322057558100"
"00088K","한화3우B","KOSPI","","40650","-1050","-2.52","596604318450"
"000890","보해양조","KOSPI","","1357","-11","-0.8","37485801925"
"000910","유니온","KOSPI","","2950","0","0.00","46054276050"
"000950","전방","KOSPI","","31100","-900","-2.81","52248000000"
"000970","한국주철관","KOSPI","","6660","-60","-0.89","151851330000"
"000990","DB하이텍","KOSPI","","105800","-9400","-8.16","4602785410400"
"001020","페이퍼코리아","KOSPI","","2240","-80","-3.45","79736522880"
"001040","CJ","KOSPI","","128300","600","0.47","3743408843400"
"001045","CJ우","KOSPI","","67900","-500","-0.73","153469141700"
"00104K","CJ4우(전환)","KOSPI","","126600","300","0.24","535076419200"
"001060","JW중외제약","KOSPI","","26600","-150","-0.56","619405738000"
"001065","JW중외제약우","KOSPI","","22500","400","1.81","7693897500"
"001067","JW중외제약2우B","KOSPI","","48700","-650","-1.32","10225685100"
"001070","대한방직","KOSPI","","5960","-30","-0.5","31588000000"
"001080","만호제강","KOSPI","","4000","-5","-0.12","140459840000"
"001120","LX인터내셔널","KOSPI","","40900","850","2.12","1585284000000"
"001130","대한제분","KOSPI","","11580","60","0.52","195702000000"
"001200","유진투자증권","KOSPI","","4355","-35","-0.8","421853250390"
"001210","금호전기","KOSPI","","12450","500","4.18","154081399200"
"001230","동국홀딩스","KOSPI","","2075","5","0.24","322678508625"
"001250","GS글로벌","KOSPI","","2650","0","0.00","218714474600"
"001260","남광토건","KOSPI","","7710","-80","-1.03","75809130120"
"001270","부국증권","KOSPI","","50000","300","0.6","518494300000"
"001275","부국증권우","KOSPI","","30250","0","0.00","90750000000"
"001290","상상인증권","KOSPI","","4300","80","1.9","93169923200"
"001340","PKC","KOSPI","","4990","-120","-2.35","224690164110"
"001360","삼성제약","KOSPI","","1374","-3","-0.22","129378696546"
"001380","SG글로벌","KOSPI","","1244","5","0.4","27967696324"
"001390","KG케미칼","KOSPI","","4490","-15","-0.33","298152325640"
"001420","태원물산","KOSPI","","2880","-20","-0.69","21888000000"
"001430","세아베스틸지주","KOSPI","","41450","-750","-1.78","1486484832550"
"001440","대한전선","KOSPI","","29500","-200","-0.67","5781781582000"
"001450","현대해상","KOSPI","","51300","900","1.79","4373235225000"
"001460","BYC","KOSPI","","38050","-250","-0.65","237666007500"
"001465","BYC우","KOSPI","","26850","-50","-0.19","57830872500"
"001470","삼부토건","KOSPI","","5820","0","0.00","227794235460"
"001500","현대차증권","KOSPI","","8020","-20","-0.25","495901012880"
"001510","SK증권","KOSPI","","2405","-55","-2.24","556264679425"
"001515","SK증권우","KOSPI","","4045","0","0.00","7913059565"
"001520","동양","KOSPI","","1072","-6","-0.56","114834818304"
"001525","동양우","KOSPI","","9150","-40","-0.44","2402927250"
"001527","동양2우B","KOSPI","","5750","-130","-2.21","1182803750"
"001530","DI동일","KOSPI","","26450","-450","-1.67","547928175450"
"001550","조비","KOSPI","","10670","-170","-1.57","55401190130"
"001560","제일연마","KOSPI","","8990","-120","-1.32","68324000000"
"001570","금양","KOSPI","","9900","0","0.00","633275240400"
"001620","케이비아이동국실업","KOSPI","","2140","-20","-0.93","47633416840"
"001630","종근당홀딩스","KOSPI","","38850","-150","-0.38","194633099850"
"001680","대상","KOSPI","","18760","120","0.64","649996949000"
"001685","대상우","KOSPI","","14600","0","0.00","20005255800"
"001720","신영증권","KOSPI","","148300","1300","0.88","2438052000000"
"001740","SK네트웍스","KOSPI","","6390","0","0.00","1281794950710"
"001750","한양증권","KOSPI","","19380","20","0.1","292821838680"
"001755","한양증권우","KOSPI","","19340","10","0.05","9145305800"
"001770","SHD","KOSPI","","9250","-1250","-11.9","11237621500"
"001780","알루코","KOSPI","","1604","-20","-1.23","155315531728"
"001790","대한제당","KOSPI","","2830","-15","-0.53","244064619450"
"001795","대한제당우","KOSPI","","2155","-20","-0.92","13970347800"
